Action*,ID,Name*,Description,Contract ID,Contract Number,UOM ID**,UOM code**,List Price,List Price Currency ID,List Price Currency Code,Source Part Num,Lead Time,Image URL
Add,KGP01590,"Lighting Tower, Metal Halide Lighting Tower, 4 headed, 06.00 Kva output, 09.10 m","Lighting Tower, Metal Halide Lighting Tower, 4 headed, 06.00 Kva output, 09.10 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01591,"Lighting Tower, Metal Halide Vertical, 4 headed, 11.00 m","Lighting Tower, Metal Halide Vertical, 4 headed, 11.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01592,"Lighting Tower, Metal Halide, 4 headed, 11.00 m","Lighting Tower, Metal Halide, 4 headed, 11.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01593,"Lighting Tower, Mini Halogen Lighting Tower, 4 headed, 05.00 Kva output, 05.00 m","Lighting Tower, Mini Halogen Lighting Tower, 4 headed, 05.00 Kva output, 05.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01594,"Lighting Tower, Mini Lighting Tower c/w generator, 4 headed, 06.00 Kva Output - Silenced, 05.50 m","Lighting Tower, Mini Lighting Tower c/w generator, 4 headed, 06.00 Kva Output - Silenced, 05.50 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01595,"Lighting Tower, Mini Lighting Tower, 4 headed, 05.00 Kva, 01.70 m to 05.00 m","Lighting Tower, Mini Lighting Tower, 4 headed, 05.00 Kva, 01.70 m to 05.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01596,"Lighting Tower, Mini, 4 headed, 06.00 Kva output, 05.50 m","Lighting Tower, Mini, 4 headed, 06.00 Kva output, 05.50 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01597,"Lighting Tower, VT-1 Lighting Tower, towable","Lighting Tower, VT-1 Lighting Tower, towable",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01637,"Portable, Luminator Lighting Mast, c/w outriggers, extends 01.60 m to 05.00 m, 110v / 1000 W","Portable, Luminator Lighting Mast, c/w outriggers, extends 01.60 m to 05.00 m, 110v / 1000 W",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01639,"Portable, Plasterers Light, 02 Ft c/w tripod, 36 W","Portable, Plasterers Light, 02 Ft c/w tripod, 36 W",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01640,"Portable, Plasterers Light, 05 Ft c/w tripod, 110v / 60 W","Portable, Plasterers Light, 05 Ft c/w tripod, 110v / 60 W",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP01641,"Portable, Plasterers Light, 05 Ft c/w tripod, 58 W","Portable, Plasterers Light, 05 Ft c/w tripod, 58 W",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
