Action*,ID,Name*,Description,Contract ID,Contract Number,UOM ID**,UOM code**,List Price,List Price Currency ID,List Price Currency Code,Source Part Num,Lead Time,Image URL
Add,,"Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 01.80 m",4,Hired Services,2,Week,1.95,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 02.20 m x 02.50 m",4,Hired Services,2,Week,0,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 01.80 m",4,Hired Services,2,Week,280,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 02.70 m x 02.50 m",4,Hired Services,2,Week,25.25,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 01.80 m",4,Hired Services,2,Week,298,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 03.20 m x 02.50 m",4,Hired Services,2,Week,111,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 01.80 m",4,Hired Services,2,Week,18,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 03.70 m x 02.50 m",4,Hired Services,2,Week,575,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 01.80 m",4,Hired Services,2,Week,18,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 02.50 m","Scaffold, Tower, Narrow Width, Alloy, 04.20 m x 02.50 m",4,Hired Services,2,Week,300,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,,"Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 01.80 m","Scaffold, Tower, Narrow Width, Alloy, 04.70 m x 01.80 m",4,Hired Services,2,Week,8.65,49,GBP,,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
